seed,script,head,test_ser,test_wer,test_line_acc,onset_error,vowel_error,ser_clean,ser_heavy,minutes
0,Sunda,plain,0.08521,0.28349,0.6308,0.04033,0.02976,0.0674,0.11984,19.72
0,Sunda,factored,0.08311,0.27806,0.6332,0.03909,0.03192,0.06822,0.11583,19.98
0,Jawa,plain,0.06901,0.23563,0.6728,0.03809,0.01709,0.05653,0.10237,25.66
0,Jawa,factored,0.05618,0.20522,0.7212,0.02935,0.0145,0.04582,0.08601,25.95
0,Bali,plain,0.04688,0.1811,0.7636,0.02688,0.00539,0.03092,0.0753,23.3
0,Bali,factored,0.04573,0.17077,0.7716,0.0254,0.00482,0.02783,0.08006,23.57
0,Lontara,plain,0.02338,0.11246,0.8732,0.00246,0.00653,0.00941,0.05301,26.99
0,Lontara,factored,0.02271,0.10962,0.8752,0.00338,0.0066,0.00655,0.05153,27.28
1,Sunda,plain,0.08942,0.29024,0.6264,0.04091,0.03145,0.06618,0.12477,19.21
1,Sunda,factored,0.07926,0.27,0.642,0.03764,0.02884,0.0674,0.10875,19.52
1,Jawa,plain,0.0669,0.2306,0.6776,0.03857,0.01614,0.05439,0.1043,24.97
1,Jawa,factored,0.05943,0.21343,0.7092,0.03058,0.01686,0.04582,0.09596,25.25
1,Bali,plain,0.04524,0.17077,0.7776,0.02543,0.00601,0.02959,0.07738,22.73
1,Bali,factored,0.04341,0.16964,0.7828,0.02354,0.00541,0.02871,0.07381,22.24
1,Lontara,plain,0.02326,0.11378,0.8716,0.00364,0.00719,0.00655,0.05212,24.47
1,Lontara,factored,0.02235,0.10924,0.8748,0.00321,0.00607,0.00859,0.04916,26.54
2,Sunda,plain,0.08689,0.28199,0.6296,0.04178,0.03362,0.06781,0.12415,18.75
2,Sunda,factored,0.08058,0.26925,0.644,0.03799,0.02704,0.06168,0.12015,19.12
2,Jawa,plain,0.06419,0.22649,0.688,0.03415,0.01558,0.05011,0.10655,24.2
2,Jawa,factored,0.061,0.22108,0.7032,0.03313,0.01407,0.05182,0.10173,24.39
2,Bali,plain,0.04621,0.17453,0.7704,0.02451,0.00676,0.02739,0.07679,22.08
2,Bali,factored,0.04396,0.16494,0.7776,0.02508,0.00572,0.02871,0.07351,22.36
2,Lontara,plain,0.0215,0.10451,0.882,0.0021,0.00612,0.00696,0.04916,25.41
2,Lontara,factored,0.02193,0.10754,0.8776,0.00319,0.00663,0.00818,0.04738,25.61
