model,task,image_size,augmentation,pretrained,script_filter,accuracy_mean,macro_f1_mean,balanced_accuracy_mean,top5_accuracy_mean,accuracy_std,macro_f1_std,balanced_accuracy_std,top5_accuracy_std,n_seeds,params,seconds
resnet18,per_script,64,medium,True,Lampung,0.9995331465919701,0.9995305164319248,0.999537037037037,1.0,0.000808613822394431,0.00081316939322484,0.0008018753738744614,0.0,3,11186772,24.545683940251667
resnet18,per_script,64,medium,True,Kawi,0.9992526158445442,0.9992056078424033,0.9993633276740237,1.0,0.0006472536650108011,0.0008717104544775877,0.0006748296557844591,0.0,3,11192415,30.314878622690838
resnet18,script_id,64,medium,True,-,0.9991373733017036,0.9989709323192616,0.999090366412598,1.0,0.0001245094391178398,9.223352555708897e-05,8.368884868785056e-05,0.0,3,11183181,460.56237745285034
resnet18,per_script,64,medium,True,Ogan,0.9980952380952383,0.9980787878643008,0.9980523572205992,0.9993650793650793,0.0,2.5945411490438715e-05,4.960906248411072e-05,0.0010997147984563845,3,11188311,27.872456947962444
resnet18,per_script,64,medium,True,Batak,0.998019801980198,0.9980129586064512,0.9980256910081472,1.0,0.0,1.6351854854644978e-06,4.32861200472165e-05,0.0,3,11186259,32.07828664779663
resnet18,per_script,64,medium,True,Dunging-Iban,0.996437054631829,0.9964173999102953,0.996421845574388,1.0,0.002057067467421476,0.0020766042786476845,0.0020740074115908574,0.0,3,11206779,42.032229820887245
resnet18,per_script,64,medium,True,Minangkabau,0.9958592132505176,0.9957158890492224,0.9957777777777778,1.0,0.004743867179043303,0.005262816450968004,0.005178302310102694,0.0,3,11214987,27.307376623153687
resnet18,per_script,64,medium,True,Pallawa,0.9952380952380953,0.9953715643555215,0.9953786228296032,1.0,0.0027277236279498952,0.002619570013649306,0.0026799027523330358,0.0,3,11193441,37.542800982793175
resnet18,per_script,64,medium,True,Bali,0.9947997919916797,0.994724453624524,0.9947347195426334,0.999479979199168,0.0,0.0006319788760948282,0.0006072644124564371,0.0,3,11246793,84.9526395003001
resnet18,per_script,64,medium,True,Lontara,0.9948942377826405,0.9941963356924995,0.9942565754159957,1.0,0.002277533916264934,0.0024982348798521076,0.002105106813499469,0.0,3,11247306,47.132787545522056
resnet18,per_script,64,medium,True,Sunda,0.9848746403616934,0.977271018629981,0.9757510399583481,0.9983559391697492,0.0020681867037252864,0.002723497746074732,0.003821489995067544,0.00028475968887283154,3,11263722,151.19308423995972
resnet18,per_script,64,medium,True,Bima,0.9740259740259741,0.9735709971103857,0.9742424242424242,0.9967532467532467,0.011706335309948013,0.011652289630105391,0.011346616815654638,0.003246753246753206,3,11187798,34.90833727518717
resnet18,per_script,64,medium,True,Jawi,0.9534206695778749,0.9536743000428686,0.9528944911297853,0.9934497816593887,0.0045451222695766505,0.006248060567336892,0.006804378412306763,0.0037817703222028376,3,11193954,31.126425743103027
resnet18,per_script,64,medium,True,Jawa,0.9547455537946821,0.8792167944791781,0.8816574603297561,0.9947173798203909,0.0035173418481137665,0.0114671863966989,0.010868215705145862,0.0009149766548171225,3,11242176,83.48046565055847
