run_id,model,task,image_size,augmentation,pretrained,seed,script_filter,num_classes,n_train,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,top5_accuracy,cohen_kappa,val_macro_f1,num_params,epochs_run,train_seconds
resnet18__per_script__Bali__sz64__aug-medium__pt__s0,resnet18,per_script,64,medium,True,0,Bali,137,9614,1923,0.9947997919916797,0.9941569720670758,0.9940992388581384,0.9947903465941452,0.999479979199168,0.9947337533003044,0.9935573003493431,11246793,25,99.13519787788391
resnet18__per_script__Bali__sz64__aug-medium__pt__s1,resnet18,per_script,64,medium,True,1,Bali,137,9614,1923,0.9947997919916797,0.9953677240077545,0.9953629861091591,0.9947918260794423,0.999479979199168,0.9947337504159187,0.9920797133265751,11246793,25,77.50387525558472
resnet18__per_script__Bali__sz64__aug-medium__pt__s2,resnet18,per_script,64,medium,True,2,Bali,137,9614,1923,0.9947997919916797,0.9946794625530699,0.9947111359062744,0.994788307296887,0.999479979199168,0.994733751858112,0.9941577178915847,11246793,25,78.21884536743164
resnet18__per_script__Batak__sz64__aug-medium__pt__s0,resnet18,per_script,64,medium,True,0,Batak,19,2524,505,0.998019801980198,0.9980506822612085,0.9980139026812315,0.998019801980198,1.0,0.9979097076488144,1.0,11186259,18,45.429847955703735
resnet18__per_script__Batak__sz64__aug-medium__pt__s1,resnet18,per_script,64,medium,True,1,Batak,19,2524,505,0.998019801980198,0.9979757085020242,0.9980110704568909,0.9980183900743016,1.0,0.9979096903444251,1.0,11186259,21,27.174555778503418
resnet18__per_script__Batak__sz64__aug-medium__pt__s2,resnet18,per_script,64,medium,True,2,Batak,19,2524,505,0.998019801980198,0.9980506822612085,0.9980139026812315,0.998019801980198,1.0,0.9979097076488144,0.9979749595965497,11186259,18,23.63045620918274
resnet18__per_script__Bima__sz64__aug-medium__pt__s0,resnet18,per_script,64,medium,True,0,Bima,22,1537,308,0.9837662337662337,0.9837662337662337,0.9837500969759034,0.9836453630002017,0.9967532467532467,0.9829911310897825,0.9933820968303727,11187798,24,57.58601784706116
resnet18__per_script__Bima__sz64__aug-medium__pt__s1,resnet18,per_script,64,medium,True,1,Bima,22,1537,308,0.961038961038961,0.9616883116883117,0.9608613882493952,0.9604542718548179,1.0,0.9591800671496731,0.9837620872103631,11187798,19,20.269795417785645
resnet18__per_script__Bima__sz64__aug-medium__pt__s2,resnet18,per_script,64,medium,True,2,Bima,22,1537,308,0.9772727272727273,0.9772727272727273,0.9761015061058587,0.975996772130157,0.9935064935064936,0.9761875835256956,0.9935064935064936,11187798,25,26.86919856071472
resnet18__per_script__Dunging-Iban__sz64__aug-medium__pt__s0,resnet18,per_script,64,medium,True,0,Dunging-Iban,59,4210,842,0.997624703087886,0.9975786924939468,0.9975756001471956,0.9976216695030684,1.0,0.9975837092645523,1.0,11206779,18,62.38572454452515
