run_id,model,task,image_size,augmentation,pretrained,seed,script_filter,num_classes,n_train,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,top5_accuracy,cohen_kappa,val_macro_f1,num_params,epochs_run,train_seconds
resnet18__unified__sz128__aug-medium__pt__s0,resnet18,unified,128,medium,True,0,,889,69552,13911,0.9930271008554381,0.990557911100355,0.9906510951711462,0.9929713929760313,0.998993602185321,0.9930087477087921,0.9934422293252406,11632569,40,4133.216053724289
resnet18__unified__sz128__aug-medium__pt__s1,resnet18,unified,128,medium,True,1,,889,69552,13911,0.9937459564373518,0.9912480971193465,0.9914537162231102,0.9937174257572235,0.9990654877435123,0.9937295062187629,0.9928170235309508,11632569,40,4181.346503019333
resnet18__unified__sz224__aug-medium__pt__s0,resnet18,unified,224,medium,True,0,,889,69552,13911,0.994392926461074,0.9929062642854245,0.9930266907094046,0.9943556048435928,0.998993602185321,0.9943781714355704,0.9951534343283771,11632569,40,6016.011475324631
resnet18__unified__sz224__aug-medium__pt__s1,resnet18,unified,224,medium,True,1,,889,69552,13911,0.994392926461074,0.9937594840814306,0.9938252808997184,0.9943583269021612,0.9992092588598951,0.9943781751638796,0.9950369013397677,11632569,40,6075.795818567276
resnet18__unified__sz32__aug-medium__pt__s0,resnet18,unified,32,medium,True,0,,889,69552,13911,0.9677233843720796,0.9425414923267859,0.9423104155976693,0.9670943209540757,0.9964776076486234,0.9676382166710763,0.9458924980443618,11632569,40,1453.1992161273956
resnet18__unified__sz32__aug-medium__pt__s1,resnet18,unified,32,medium,True,1,,889,69552,13911,0.9665013298828266,0.9383193721765016,0.9383030312049697,0.9659684615644881,0.9959744087412838,0.9664128399438946,0.9446670209587307,11632569,40,1482.61651968956
resnet18__unified__sz48__aug-medium__pt__s0,resnet18,unified,48,medium,True,0,,889,69552,13911,0.9835382071741787,0.9718028477070968,0.9713949062997241,0.983241109568887,0.9981309754870247,0.983494865442118,0.9742537404439046,11632569,40,1504.224347114563
resnet18__unified__sz48__aug-medium__pt__s1,resnet18,unified,48,medium,True,1,,889,69552,13911,0.9851915750125799,0.9726410357757924,0.9726638347242675,0.9850619290757123,0.9983466321615987,0.9851525979192137,0.973375853475968,11632569,40,1554.9617989063263
resnet18__unified__sz64__aug-light__pt__s0,resnet18,unified,64,light,True,0,,889,69552,13911,0.9898641362950183,0.9839890709954082,0.9846080897347076,0.9897853162448834,0.9987060599525556,0.9898374500063493,0.982943516128869,11632569,40,1422.9792757034302
resnet18__unified__sz64__aug-light__scratch__s0,resnet18,unified,64,light,False,0,,889,69552,13911,0.9862698583854503,0.974898452288147,0.9750934492038226,0.9861788263260913,0.9984185177197901,0.9862337279176152,0.9776161257835325,11632569,40,1409.0499229431152
resnet18__unified__sz64__aug-medium__pt__s0,resnet18,unified,64,medium,True,0,,889,69552,13911,0.989792250736827,0.9834034440231687,0.9835581801872365,0.9897445883376492,0.9987060599525556,0.9897653940612808,0.982660898692142,11632569,40,1586.9775207042694
resnet18__unified__sz64__aug-medium__pt__s1,resnet18,unified,64,medium,True,1,,889,69552,13911,0.9895765940622528,0.9824014140510908,0.9826438698739713,0.9894905668744522,0.9982747466034074,0.9895491724287719,0.9844415894251206,11632569,40,1658.703497171402
resnet18__unified__sz64__aug-none__pt__s0,resnet18,unified,64,none,True,0,,889,69552,13911,0.9880669973402344,0.9794510562076394,0.979587529131307,0.9879556667161659,0.9986341743943642,0.9880355560700782,0.9825926579273059,11632569,40,1412.0727846622467
resnet18__unified__sz64__aug-none__scratch__s0,resnet18,unified,64,none,False,0,,889,69552,13911,0.981597297103012,0.966480805560046,0.9675676852129165,0.9814448225386422,0.9979872043706419,0.981548768158096,0.9730419417133871,11632569,40,1377.0086953639984
resnet18__unified__sz96__aug-medium__pt__s0,resnet18,unified,96,medium,True,0,,889,69552,13911,0.9920207030407591,0.9874550099716551,0.9879368082840403,0.991941363633367,0.9991373733017037,0.9919996964682288,0.9910975615202197,11632569,40,3457.61905002594
resnet18__unified__sz96__aug-medium__pt__s1,resnet18,unified,96,medium,True,1,,889,69552,13911,0.9919488174825678,0.9882604662990445,0.9883496348657343,0.991911069801771,0.9992092588598951,0.991927639562313,0.9907529246844375,11632569,40,3522.0521762371063
